;Pays;Intitule Typologie 1;Question 3 : Y a  t il un sentiment de colere;bin_emotion_T5;Duree_traitement;size_texte;Date de premiere réponse;Prediction
259;France;Carsat;0;0;61;443;09/12/2019;0
260;France;Carsat;0;1;131;181;19/03/2020;0
261;France;Carsat;0;0;-83;728;17/09/2019;0
262;France;TRIBUNAL DE PROXIMITE;0;1;11;558;24/09/2019;0
263;France;Chèque énergie;0;0;221;591;23/04/2020;0
264;France;ANTS;1;1;4;692;20/09/2019;0
266;France;Service des Impôts des particuliers;1;0;611;857;20/05/2021;0
267;France;ANTS;1;1;3;1731;20/09/2019;0
268;France;Unité Numérique;0;0;13;629;30/09/2019;0
269;France;Carsat;0;0;5;368;24/09/2019;0
270;France;ANTS;0;0;7;241;26/09/2019;0
271;France;Carsat;0;0;0;102;19/09/2019;0
272;France;Carsat;0;1;5;264;24/09/2019;0
273;France;Carsat;1;0;181;695;19/03/2020;0
274;France;Carsat;1;0;-224;953;10/02/2019;0
275;France;Carsat;1;0;-226;973;10/02/2019;0
276;France;Brigade de gendarmerie;0;0;6;719;30/09/2019;0
277;France;Service des Impôts des particuliers;0;0;604;454;20/05/2021;0
278;France;CAF;1;1;46;326;10/11/2019;0
279;France;Service des Impôts des particuliers;1;1;602;727;20/05/2021;0
280;France;Carsat;0;0;-228;523;10/02/2019;0
282;France;Service des Impôts des particuliers;1;0;601;567;20/05/2021;0
284;France;Brigade de gendarmerie;0;0;-81;164;10/07/2019;0
285;France;Carsat;1;0;-82;1219;10/07/2019;0
287;France;Préfecture;1;1;-20;1243;10/09/2019;0
288;France;Franceconnect;0;1;280;1104;17/10/2019;0
289;France;ANTS;1;1;284;1056;21/10/2019;0
291;France;Prime à la conversion;1;0;380;2735;25/02/2020;0
293;France;Brigade de gendarmerie;0;1;212;231;10/09/2019;0
295;France;Carsat;1;0;188;1518;15/10/2019;0
296;France;Carsat;0;0;61;260;10/07/2019;0
297;France;ANTS;0;0;123;617;10/09/2019;0
298;France;ANTS;1;1;92;668;10/09/2019;0
299;France;Carsat;1;0;126;794;14/10/2019;0
300;France;Carsat;1;1;0;1244;10/07/2019;0
301;France;Trésorerie;1;1;691;305;31/05/2021;0
302;France;Brigade de gendarmerie;0;1;62;156;10/09/2019;0
303;France;Brigade de gendarmerie;0;1;123;182;10/11/2019;0
304;France;Brigade de gendarmerie;0;1;123;167;10/11/2019;0
305;France;Carsat;1;1;80;1164;29/10/2019;0
306;France;Brigade de gendarmerie;0;0;61;334;10/10/2019;0
307;France;Préfecture;0;0;65;1435;14/10/2019;0
308;France;Brigade de gendarmerie;0;0;61;238;10/10/2019;0
309;France;Carsat;0;0;66;467;15/10/2019;0
310;France;Carsat;0;0;37;683;17/10/2019;0
311;France;Brigade de gendarmerie;0;0;61;196;10/11/2019;0
313;France;ANTS;1;1;31;693;10/11/2019;0
316;France;ANTS;0;0;5;861;15/10/2019;0
319;France;Carsat;0;0;-27;443;14/10/2019;0
320;France;DGFIP;1;0;596;975;31/05/2021;0
323;France;Carsat;1;1;10;276;24/10/2019;0
324;France;ANTS;1;0;4;964;18/10/2019;0
325;France;Brigade de gendarmerie;0;1;2;150;16/10/2019;0
326;France;ANTS;0;0;3;160;18/10/2019;0
327;France;Carsat;1;0;2;585;17/10/2019;0
328;France;Brigade de gendarmerie;1;1;6;529;22/10/2019;0
329;France;Brigade de gendarmerie;0;0;6;337;22/10/2019;0
331;France;Unité Numérique;0;0;6;239;23/10/2019;0
332;France;Unité Numérique;0;0;6;596;23/10/2019;0
333;France;Préfecture;0;0;6;214;24/10/2019;0
335;France;Impots.gouv.fr;0;0;591;356;31/05/2021;0
336;France;Service des Impôts des particuliers;1;1;591;1421;31/05/2021;0
337;France;Brigade de gendarmerie;0;0;-190;1110;11/04/2019;0
