;Unnamed: 0;Pays;Intitule Typologie 1;Question 3 : Y a  t il un sentiment de colere;bin_emotion_T5;Duree_traitement;size_texte;Date de premiere réponse;Prediction;ID
0;259;France;Carsat;0;0;61;443;09/12/2019;0;280177
1;260;France;Carsat;0;1;131;181;19/03/2020;0;280174
2;261;France;Carsat;0;0;-83;728;17/09/2019;0;280171
3;262;France;TRIBUNAL DE PROXIMITE;0;1;11;558;24/09/2019;0;280169
4;263;France;Chèque énergie;0;0;221;591;23/04/2020;0;280166
5;264;France;ANTS;1;1;4;692;20/09/2019;0;280163
6;266;France;Service des Impôts des particuliers;1;0;611;857;20/05/2021;0;280160
7;267;France;ANTS;1;1;3;1731;20/09/2019;0;280342
8;268;France;Unité Numérique;0;0;13;629;30/09/2019;0;280157
9;269;France;Carsat;0;0;5;368;24/09/2019;0;280154
10;270;France;ANTS;0;0;7;241;26/09/2019;0;280151
11;271;France;Carsat;0;0;0;102;19/09/2019;0;280148
12;272;France;Carsat;0;1;5;264;24/09/2019;0;280145
13;273;France;Carsat;1;0;181;695;19/03/2020;0;280143
14;274;France;Carsat;1;0;-224;953;10/02/2019;0;280140
15;275;France;Carsat;1;0;-226;973;10/02/2019;0;280137
16;276;France;Brigade de gendarmerie;0;0;6;719;30/09/2019;0;280134
17;277;France;Service des Impôts des particuliers;0;0;604;454;20/05/2021;0;280131
18;278;France;CAF;1;1;46;326;10/11/2019;0;280128
19;279;France;Service des Impôts des particuliers;1;1;602;727;20/05/2021;0;280125
20;280;France;Carsat;0;0;-228;523;10/02/2019;0;280122
21;282;France;Service des Impôts des particuliers;1;0;601;567;20/05/2021;0;280119
22;284;France;Brigade de gendarmerie;0;0;-81;164;10/07/2019;0;280116
23;285;France;Carsat;1;0;-82;1219;10/07/2019;0;280113
24;287;France;Préfecture;1;1;-20;1243;10/09/2019;0;280110
25;288;France;Franceconnect;0;1;280;1104;17/10/2019;0;280107
26;289;France;ANTS;1;1;284;1056;21/10/2019;0;280104
27;291;France;Prime à la conversion;1;0;380;2735;25/02/2020;0;280101
28;293;France;Brigade de gendarmerie;0;1;212;231;10/09/2019;0;280098
29;295;France;Carsat;1;0;188;1518;15/10/2019;0;280095
30;296;France;Carsat;0;0;61;260;10/07/2019;0;280092
31;297;France;ANTS;0;0;123;617;10/09/2019;0;280089
32;298;France;ANTS;1;1;92;668;10/09/2019;0;280290
33;299;France;Carsat;1;0;126;794;14/10/2019;0;280288
34;300;France;Carsat;1;1;0;1244;10/07/2019;0;280086
35;301;France;Trésorerie;1;1;691;305;31/05/2021;0;280083
36;302;France;Brigade de gendarmerie;0;1;62;156;10/09/2019;0;280080
37;303;France;Brigade de gendarmerie;0;1;123;182;10/11/2019;0;280077
38;304;France;Brigade de gendarmerie;0;1;123;167;10/11/2019;0;280074
39;305;France;Carsat;1;1;80;1164;29/10/2019;0;280071
40;306;France;Brigade de gendarmerie;0;0;61;334;10/10/2019;0;280068
41;307;France;Préfecture;0;0;65;1435;14/10/2019;0;280065
42;308;France;Brigade de gendarmerie;0;0;61;238;10/10/2019;0;280064
43;309;France;Carsat;0;0;66;467;15/10/2019;0;280061
44;310;France;Carsat;0;0;37;683;17/10/2019;0;280285
45;311;France;Brigade de gendarmerie;0;0;61;196;10/11/2019;0;280058
46;313;France;ANTS;1;1;31;693;10/11/2019;0;280055
47;316;France;ANTS;0;0;5;861;15/10/2019;0;280052
48;319;France;Carsat;0;0;-27;443;14/10/2019;0;280049
49;320;France;DGFIP;1;0;596;975;31/05/2021;0;280046
50;323;France;Carsat;1;1;10;276;24/10/2019;0;280043
51;324;France;ANTS;1;0;4;964;18/10/2019;0;280040
